math_interest,engineering_skills,medicine_interest,arts_creativity,business_interest,agriculture_interest,writing_skill,communication_skill,tech_interest,biology_interest,stress_tolerance,teamwork,logical_reasoning,problem_solving,sports_interest,leadership,language_proficiency,scientific_thinking,cooking_hospitality,risk_taking,career_path
2,1,4,5,3,1,4,3,2,2,3,1,2,5,3,3,2,1,5,1,Software Developer
4,4,2,2,2,4,1,1,2,5,1,4,3,3,3,5,2,4,5,4,Hotel Manager
4,2,3,2,5,5,5,2,4,4,1,5,4,1,4,5,3,5,2,4,Farmer
4,2,2,3,4,4,3,1,3,5,4,2,5,4,3,5,4,1,1,2,Software Developer
4,1,3,4,3,3,1,4,5,1,1,4,4,3,4,3,1,2,5,1,Software Developer
4,5,2,2,3,5,3,1,5,1,3,5,3,5,3,2,3,2,3,5,Software Developer
5,5,4,1,5,2,5,4,2,4,2,3,1,1,4,1,4,4,4,1,Reporter
4,1,4,5,4,2,4,3,4,2,2,1,5,4,1,5,4,3,4,2,Software Developer
2,3,1,5,4,2,1,3,2,3,4,5,2,2,4,1,5,2,5,2,Chef
5,3,2,5,1,3,3,1,5,4,1,5,1,1,2,5,4,2,1,1,Graphic Designer
1,5,5,2,4,2,3,1,1,1,2,2,1,2,5,5,2,1,2,2,Entrepreneur
2,3,5,4,4,3,2,3,3,1,5,4,2,4,4,5,4,4,3,5,Nurse
1,2,4,2,1,2,1,3,4,1,2,4,3,4,1,3,2,3,3,5,Software Developer
3,3,4,2,4,4,1,4,5,5,1,2,2,4,4,4,2,3,5,3,Software Developer
3,2,3,1,4,1,5,4,3,5,4,3,1,4,3,1,5,5,5,5,Biologist
2,4,4,2,3,3,5,1,3,1,4,1,4,2,2,5,3,5,4,5,Entrepreneur
1,4,2,3,4,4,1,3,2,4,4,1,5,2,3,4,4,2,5,4,Entrepreneur
2,1,5,3,4,2,1,3,2,2,3,1,1,5,4,3,3,3,1,4,Entrepreneur
5,2,2,3,4,1,4,4,1,3,4,2,1,5,3,1,5,5,4,4,Reporter
4,1,1,3,4,5,2,3,1,3,3,3,3,2,4,5,3,3,3,4,Entrepreneur
1,1,2,1,3,3,3,2,3,1,4,4,5,1,3,4,1,4,3,4,Entrepreneur
5,5,4,1,1,1,4,1,3,5,3,1,3,1,4,3,4,4,2,1,Biologist
5,1,5,1,4,3,3,2,5,5,5,4,5,3,4,1,5,5,1,5,Software Developer
1,4,3,1,2,1,5,4,4,1,3,2,4,5,5,3,4,1,5,3,Software Developer
4,4,4,4,4,5,3,4,2,2,3,1,1,1,2,1,5,4,2,3,Reporter
3,4,2,1,1,5,5,1,3,3,5,4,1,5,5,1,1,3,4,4,Army Officer
1,2,5,5,1,2,3,1,1,5,1,1,1,5,3,3,1,5,3,3,Doctor
3,5,5,1,4,3,4,5,5,5,4,5,1,5,2,4,2,5,1,3,Software Developer
5,1,4,2,2,2,4,1,4,2,5,3,4,4,1,1,4,2,3,1,Software Developer
2,5,1,2,2,3,3,5,2,2,3,1,1,4,3,4,3,5,2,5,Civil Engineer
3,2,1,1,4,3,3,1,5,2,5,5,1,1,1,4,5,3,2,4,Entrepreneur
3,5,1,5,2,4,4,2,3,3,4,4,1,3,2,3,1,4,4,1,Graphic Designer
2,4,5,4,5,1,1,4,3,5,2,4,2,4,3,3,3,3,1,1,Doctor
5,2,4,4,1,4,1,5,2,5,3,3,3,5,4,2,3,3,3,2,Software Developer
3,2,3,5,5,2,5,2,5,5,2,4,5,3,4,2,4,1,1,5,Software Developer
5,3,4,1,5,4,5,5,1,1,5,2,5,5,3,3,3,2,2,5,Software Developer
3,2,1,5,4,5,4,3,4,3,1,4,5,3,5,2,3,4,3,5,Software Developer
1,3,4,2,1,2,3,5,5,4,5,1,5,4,3,3,5,2,3,5,Software Developer
4,5,3,4,5,1,4,1,2,4,1,3,3,2,4,4,4,2,4,3,Entrepreneur
1,3,3,1,3,2,1,3,5,3,2,4,3,4,5,3,1,4,5,1,Software Developer
1,1,1,3,3,3,5,5,5,2,5,3,3,2,2,5,4,2,1,3,Reporter
1,3,3,2,2,1,3,1,4,1,5,1,5,5,5,4,1,1,4,3,Software Developer
2,1,2,4,3,3,3,4,5,5,2,5,5,3,3,2,1,2,2,4,Software Developer
4,2,2,2,5,4,2,3,3,5,5,1,1,1,5,5,5,3,5,3,Entrepreneur
1,1,1,2,2,4,4,4,2,2,4,4,5,4,5,3,2,4,2,2,Software Developer
2,3,1,4,1,1,1,2,5,2,2,1,2,1,5,4,1,5,4,3,Software Developer
1,1,3,3,1,3,2,4,4,4,2,3,5,3,1,4,3,5,1,2,Software Developer
2,5,1,4,3,1,2,5,5,3,5,5,1,4,3,1,4,1,1,5,Lawyer
4,3,3,4,5,2,1,5,4,1,3,2,3,4,1,4,1,5,2,5,Software Developer
5,4,2,1,1,3,1,4,5,5,5,2,1,4,2,3,4,4,4,5,Software Developer
4,1,4,5,4,3,3,5,1,1,2,5,4,5,2,5,5,2,1,4,Teacher
2,3,1,3,1,4,4,5,3,1,4,2,4,2,1,4,4,1,4,2,Reporter
4,3,5,2,3,1,2,5,5,1,1,2,4,1,4,3,5,4,5,4,Software Developer
3,1,3,1,1,5,3,4,3,5,1,5,2,2,4,5,4,4,2,4,Farmer
2,1,5,4,2,3,4,1,1,3,2,4,2,1,2,1,2,3,5,3,Nurse
3,5,5,4,4,3,3,1,1,4,4,1,1,2,2,1,2,5,4,4,Doctor
1,3,1,2,3,2,5,2,5,5,2,2,5,3,5,4,5,3,4,1,Software Developer
1,3,5,2,3,4,4,1,4,3,4,3,2,1,4,3,5,1,2,3,Doctor
2,2,4,4,3,5,3,5,2,1,3,3,5,2,2,5,2,4,1,3,Marketing Specialist
1,3,4,2,5,4,1,5,2,4,5,4,4,2,3,5,2,4,2,3,Marketing Specialist
5,3,1,5,3,4,5,5,2,4,1,3,2,3,1,1,5,1,3,4,Reporter
4,5,3,3,1,3,2,1,2,5,4,5,4,5,3,2,4,1,2,1,Software Developer
2,2,5,4,4,2,3,3,1,1,5,2,1,1,2,5,1,5,4,5,Entrepreneur
3,3,5,3,4,2,3,3,5,4,2,5,5,4,2,4,2,4,5,5,Software Developer
1,3,4,1,3,4,2,3,5,1,3,3,5,4,2,5,2,4,3,2,Software Developer
1,1,5,4,5,5,5,1,1,5,1,4,5,1,2,5,5,4,3,3,Biologist
4,4,4,3,4,1,5,5,2,2,5,1,3,3,1,3,4,5,5,1,Reporter
3,2,2,3,2,1,1,3,2,1,1,4,4,1,3,5,5,1,1,1,Teacher
3,4,1,1,2,3,1,2,5,1,1,2,3,1,5,1,5,4,4,5,Software Developer
3,1,1,4,5,1,1,3,2,4,4,2,1,3,3,4,3,2,1,2,Marketing Specialist
5,4,3,5,3,1,1,1,3,5,1,5,3,5,3,3,4,3,3,2,Software Developer
1,4,4,4,2,3,1,5,3,2,3,3,2,4,4,1,1,4,5,3,Chef
5,3,4,1,1,5,1,4,5,3,1,2,1,3,5,3,2,4,1,5,Software Developer
4,3,5,4,5,2,2,1,1,2,5,2,1,2,2,5,4,1,5,2,Doctor
2,4,1,1,3,1,4,3,3,2,2,1,3,2,4,2,2,3,3,5,Army Officer
4,3,1,4,4,3,4,3,2,5,2,3,3,2,1,1,1,3,4,3,Software Developer
4,2,5,4,1,3,2,1,2,5,3,3,5,3,4,2,1,5,4,1,Software Developer
1,5,4,1,1,4,3,1,2,4,1,5,2,1,2,2,3,2,3,4,Farmer
3,5,1,4,4,5,3,1,3,2,3,4,1,3,1,1,2,2,4,5,Civil Engineer
1,5,4,1,1,5,3,2,3,5,2,3,2,1,3,2,2,2,3,4,Doctor
3,5,3,2,1,3,3,2,1,1,5,3,1,1,4,4,1,5,1,2,Nurse
3,5,2,5,2,3,3,4,2,4,2,4,3,5,4,2,2,3,2,1,Software Developer
5,4,5,3,4,4,1,3,2,1,1,5,5,5,1,2,4,5,2,3,Software Developer
5,4,3,3,4,5,1,4,4,4,3,2,1,5,5,2,4,1,5,5,Software Developer
4,2,1,2,2,1,1,5,5,1,3,5,3,1,5,2,1,4,3,1,Software Developer
1,5,5,5,4,5,1,5,2,5,4,2,1,1,3,2,3,2,2,4,Doctor
3,4,2,1,2,4,3,3,4,3,5,1,1,1,3,3,2,2,1,5,Army Officer
2,2,3,5,1,2,5,5,1,5,5,5,2,1,5,5,2,1,3,2,Doctor
1,5,1,1,1,3,1,3,5,3,5,5,3,2,4,1,4,1,1,5,Army Officer
1,1,3,4,3,1,5,3,3,2,1,5,3,3,5,1,2,3,2,4,Graphic Designer
1,4,4,4,1,1,5,2,2,5,5,4,5,3,2,5,3,3,3,3,Doctor
4,3,4,4,3,2,3,3,3,2,1,1,4,4,2,5,1,4,1,2,Software Developer
2,5,5,2,4,1,3,5,3,4,5,3,4,1,4,5,2,1,3,5,Doctor
2,4,2,5,5,2,4,2,5,5,3,3,1,5,3,2,4,2,4,3,Graphic Designer
1,2,2,2,4,3,2,2,1,1,3,3,5,1,5,4,5,2,5,3,Hotel Manager
4,2,5,4,4,2,5,4,4,1,4,1,5,5,5,3,5,4,2,1,Software Developer
3,5,5,2,2,3,1,5,3,4,4,3,5,3,5,2,3,5,3,3,Software Developer
5,5,1,3,4,3,3,5,3,3,4,5,3,2,1,4,3,2,3,3,Software Developer
5,5,5,2,3,1,4,5,5,3,3,2,2,5,3,1,4,3,3,2,Software Developer
4,5,3,5,3,5,4,2,4,1,2,4,1,3,3,5,2,3,2,3,Graphic Designer
5,4,5,1,3,1,1,2,3,1,4,1,4,2,1,5,2,4,2,1,Software Developer
3,3,4,4,3,4,2,5,5,2,5,1,2,4,2,3,4,3,4,5,Software Developer
2,1,4,4,3,5,3,3,5,1,3,3,4,5,2,1,1,5,4,4,Software Developer
5,4,1,1,2,5,3,3,2,2,4,2,2,3,4,2,2,4,5,4,Software Developer
3,5,1,4,3,5,4,2,4,1,4,5,5,4,5,2,4,2,2,3,Software Developer
4,5,2,3,4,4,1,1,2,1,2,5,2,1,5,1,2,3,4,1,Farmer
2,5,1,1,4,2,3,5,2,5,1,4,4,3,4,1,3,2,4,3,Teacher
1,5,5,1,1,5,3,5,1,4,2,4,4,1,5,3,4,5,3,4,Farmer
3,5,2,5,1,3,2,3,3,4,1,3,5,5,4,1,1,5,2,4,Software Developer
4,5,5,2,2,1,4,4,5,1,4,1,1,5,1,2,2,3,5,3,Software Developer
2,3,5,5,1,4,1,5,2,2,1,5,2,5,2,5,3,5,5,1,Hotel Manager
3,4,1,4,2,4,5,4,1,1,4,1,1,4,3,3,2,1,4,1,Civil Engineer
5,1,1,3,4,1,3,2,3,3,3,1,1,2,5,5,5,2,5,5,Entrepreneur
3,1,1,3,3,3,1,5,3,2,3,4,3,1,3,4,2,5,3,4,Farmer
4,2,1,3,4,2,5,4,2,1,1,4,4,3,2,4,3,3,4,1,Software Developer
2,2,1,4,2,4,4,3,1,4,5,1,2,3,2,2,1,2,4,2,Doctor
3,3,5,3,2,3,1,3,4,1,5,4,2,2,2,4,4,4,1,1,Nurse
2,3,2,5,1,4,1,4,5,5,1,4,5,2,2,4,1,5,1,2,Software Developer
5,1,3,4,4,3,2,5,4,3,3,2,2,1,4,1,3,5,5,2,Software Developer
5,5,5,3,5,5,5,1,3,2,1,4,3,3,4,4,4,2,5,3,Software Developer
5,5,4,2,1,2,5,2,4,1,4,1,5,1,1,1,2,2,5,1,Software Developer
3,5,1,1,2,5,1,1,5,3,5,5,3,5,1,5,3,4,5,2,Software Developer
1,1,2,2,5,2,4,3,2,2,4,1,1,5,4,3,3,4,3,1,Marketing Specialist
3,3,4,4,3,2,4,5,5,1,3,2,1,3,4,5,2,5,4,3,Graphic Designer
4,4,5,2,4,5,2,3,3,1,5,2,4,3,2,5,1,3,2,2,Software Developer
2,5,5,5,4,2,3,5,5,2,5,4,4,5,2,2,2,1,5,2,Software Developer
4,3,3,2,3,3,1,4,4,1,1,3,5,3,1,4,3,5,3,2,Software Developer
3,1,4,4,1,2,1,3,1,1,2,3,5,5,4,1,4,2,5,1,Software Developer
2,2,1,2,1,1,3,4,2,2,3,3,3,5,5,5,1,2,4,1,Software Developer
2,2,3,3,1,3,2,3,5,3,2,1,4,3,2,4,4,5,4,2,Software Developer
2,3,3,3,4,4,5,3,1,5,1,4,5,5,2,4,4,5,4,5,Biologist
2,5,4,4,5,5,5,3,4,4,3,5,2,5,5,3,4,5,4,1,Farmer
4,2,2,5,4,5,3,2,5,3,5,4,4,4,4,1,3,3,4,1,Software Developer
4,1,4,2,2,5,4,3,5,2,4,5,4,2,5,2,1,2,4,3,Software Developer
2,3,1,5,5,3,5,2,3,4,2,2,2,4,1,5,3,1,3,5,Entrepreneur
4,2,2,4,1,1,3,4,1,4,5,2,2,2,4,4,3,2,3,2,Lawyer
3,3,5,3,4,3,2,3,1,2,1,2,4,4,4,1,5,2,4,2,Software Developer
1,5,1,2,5,5,1,4,2,3,3,1,2,2,1,2,4,1,4,2,Lawyer
1,2,1,2,4,4,2,1,3,4,4,3,2,1,2,5,4,5,4,4,Entrepreneur
5,5,2,5,2,2,2,4,4,5,4,5,4,1,1,5,4,4,2,3,Software Developer
5,3,3,5,4,5,3,4,1,5,5,4,1,1,4,2,5,5,3,4,Biologist
3,3,1,5,3,1,4,3,5,3,4,3,5,1,5,1,2,5,5,4,Software Developer
3,1,1,4,4,3,3,5,2,3,4,3,1,2,5,1,1,2,5,4,Army Officer
5,3,1,3,4,3,5,3,4,4,4,5,4,1,4,3,3,3,5,3,Software Developer
5,5,4,1,4,4,5,5,3,3,4,2,2,3,2,3,5,4,1,4,Reporter
3,3,4,3,2,2,3,3,2,3,3,4,1,2,4,1,3,3,4,3,Nurse
5,4,1,4,2,4,3,3,5,5,5,1,5,1,5,1,4,4,3,1,Software Developer
2,3,4,1,5,2,4,3,1,2,1,5,3,1,4,3,4,1,3,4,Entrepreneur
5,5,1,3,2,3,5,4,2,1,2,1,2,1,1,2,2,1,5,2,Civil Engineer
3,4,1,1,4,5,4,2,4,1,4,3,2,4,1,2,1,5,3,5,Software Developer
3,4,2,4,3,3,3,1,2,4,4,5,3,3,3,4,5,1,2,1,Software Developer
4,3,2,4,4,4,2,2,5,5,1,2,2,2,5,4,3,5,2,5,Software Developer
1,2,1,2,5,4,3,1,5,4,5,1,3,5,2,4,5,4,2,3,Software Developer
3,2,4,5,2,1,4,3,2,3,4,3,2,4,1,2,5,2,4,2,Reporter
1,1,5,3,4,4,3,1,1,2,5,5,5,2,5,3,2,3,2,5,Nurse
3,3,3,2,4,5,3,4,5,5,3,3,2,4,4,3,5,3,5,5,Software Developer
3,1,4,5,5,1,2,1,1,5,4,1,2,3,1,1,2,4,1,1,Doctor
4,2,1,4,1,3,5,3,1,2,5,3,4,2,3,4,1,4,3,3,Software Developer
1,4,4,1,4,1,2,3,2,5,5,5,1,4,2,2,2,2,5,2,Chef
4,5,2,1,3,3,3,5,2,5,4,1,1,3,3,3,2,4,4,4,Civil Engineer
4,3,1,3,4,3,4,5,1,5,2,3,2,3,5,4,4,3,4,5,Entrepreneur
4,5,2,5,1,1,1,3,3,3,5,3,2,1,5,1,3,5,4,2,Chef
3,3,2,2,4,3,3,1,5,5,1,5,2,5,5,1,4,5,5,4,Software Developer
1,4,1,2,1,2,2,1,3,1,5,5,3,2,3,5,3,1,3,2,Chef
1,4,5,5,3,1,4,1,5,1,4,3,2,1,2,5,3,3,1,3,Graphic Designer
1,1,2,3,1,2,4,2,2,1,5,5,5,2,1,3,2,2,1,4,Nurse
2,4,4,5,1,4,1,5,1,2,4,1,3,1,4,5,5,4,2,2,Lawyer
5,5,4,2,5,2,5,1,3,1,5,3,3,5,5,2,5,4,5,4,Software Developer
5,2,4,1,4,2,4,5,5,2,3,5,1,2,4,4,1,5,2,1,Software Developer
5,2,4,2,3,2,3,2,3,4,5,3,3,4,3,1,4,1,4,3,Software Developer
1,3,4,3,1,1,3,2,4,4,3,2,1,5,5,3,2,2,4,1,Software Developer
2,5,1,1,3,2,3,2,4,3,3,5,3,2,5,3,3,4,3,1,Software Developer
5,1,5,4,3,3,3,5,3,1,3,4,1,3,3,2,5,1,2,4,Teacher
5,1,3,1,3,5,3,4,3,4,5,5,1,4,4,2,2,2,3,2,Software Developer
4,3,5,1,2,5,4,1,5,1,2,4,1,5,2,2,5,5,1,3,Software Developer
2,1,5,1,5,4,5,5,5,3,5,2,2,1,3,1,2,2,4,5,Doctor
2,1,1,5,5,4,3,1,5,1,5,2,1,2,1,3,4,2,5,3,Graphic Designer
1,2,1,1,1,4,4,5,2,3,3,3,1,4,2,1,4,4,2,2,Reporter
